bin,fasta,library_id,CenterName,body_site,
Met5709_refinement_out_metawrap_50_10_bins_bin.1,Met5709_refinement_out_metawrap_50_10_bins_bin.1.fa,Sub14_Ic_T2,Chicago,skin,
Met5715_refinement_out_metawrap_50_10_bins_bin.5,Met5715_refinement_out_metawrap_50_10_bins_bin.5.fa,Sub15_Ic_T2,Chicago,skin,
Met5718_refinement_out_metawrap_50_10_bins_bin.12,Met5718_refinement_out_metawrap_50_10_bins_bin.12.fa,Sub2_An_T2,Chicago,peri-anal,
Met5696_refinement_out_metawrap_50_10_bins_bin.12,Met5696_refinement_out_metawrap_50_10_bins_bin.12.fa,Sub23_An_T1,Chicago,peri-anal,
Met5789_refinement_out_metawrap_50_10_bins_bin.4,Met5789_refinement_out_metawrap_50_10_bins_bin.4.fa,Sub27_An_T1,Chicago,peri-anal,
Met5791_refinement_out_metawrap_50_10_bins_bin.7,Met5791_refinement_out_metawrap_50_10_bins_bin.7.fa,Sub27_Ic_T1,Chicago,skin,
Met4854_refinement_out_metawrap_50_10_bins_bin.12,Met4854_refinement_out_metawrap_50_10_bins_bin.12.fa,Sub28_An_T2,Chicago,peri-anal,
Met4854_bins_refined_metawrap_50_10_bins_bin.12.spades,Met4854_bins_refined_metawrap_50_10_bins_bin.12.spades.fa,Sub28_An_T2_spades,Chicago,peri-anal,
Met4861_refinement_out_metawrap_50_10_bins_bin.4,Met4861_refinement_out_metawrap_50_10_bins_bin.4.fa,Sub28_An_T3,Chicago,peri-anal,
Met4861_bins_refined_metawrap_50_10_bins_bin.5.spades,Met4861_bins_refined_metawrap_50_10_bins_bin.5.spades.fa,Sub28_An_T3_spades,Chicago,peri-anal,
Met4853_refinement_out_metawrap_50_10_bins_bin.9,Met4853_refinement_out_metawrap_50_10_bins_bin.9.fa,Sub28_Ic_T2,Chicago,skin,
Met4853_bins_refined_metawrap_50_10_bins_bin.8.spades,Met4853_bins_refined_metawrap_50_10_bins_bin.8.spades.fa,Sub28_Ic_T2_spades,Chicago,skin,
Met5689_refinement_out_metawrap_50_10_bins_bin.20,Met5689_refinement_out_metawrap_50_10_bins_bin.20.fa,Sub35_An_T1,Chicago,peri-anal,
Met5674_refinement_out_metawrap_50_10_bins_bin.24,Met5674_refinement_out_metawrap_50_10_bins_bin.24.fa,Sub4_An_T1,Chicago,peri-anal,
Met5723_refinement_out_metawrap_50_10_bins_bin.7,Met5723_refinement_out_metawrap_50_10_bins_bin.7.fa,Sub4_An_T2,Chicago,peri-anal,
Met5749_refinement_out_metawrap_50_10_bins_bin.2,Met5749_refinement_out_metawrap_50_10_bins_bin.2.fa,Sub4_An_T3,Chicago,peri-anal,
Met5812_refinement_out_metawrap_50_10_bins_bin.6,Met5812_refinement_out_metawrap_50_10_bins_bin.6.fa,Sub41_An_T1,Chicago,peri-anal,
Met5663_refinement_out_metawrap_50_10_bins_bin.11,Met5663_refinement_out_metawrap_50_10_bins_bin.11.fa,Sub46_An_T1,Chicago,peri-anal,
Met4847_refinement_out_metawrap_50_10_bins_bin.3,Met4847_refinement_out_metawrap_50_10_bins_bin.3.fa,Sub46_Ic_T2,Chicago,skin,
Met4847_bins_refined_metawrap_50_10_bins_bin.3.spades,Met4847_bins_refined_metawrap_50_10_bins_bin.3.spades.fa,Sub46_Ic_T2_spades,Chicago,skin,
SRR9040466_refinement_out_metawrap_50_10_bins_bin.38,SRR9040466_refinement_out_metawrap_50_10_bins_bin.38.fa,S02_032_B_7_R,RI,stool,SRR9040466
SRR9040471_refinement_out_metawrap_50_10_bins_bin.2,SRR9040471_refinement_out_metawrap_50_10_bins_bin.2.fa,S02_041_3_7_R,RI,stool,SRR9040471
SRR9040472_refinement_out_metawrap_50_10_bins_bin.8,SRR9040472_refinement_out_metawrap_50_10_bins_bin.8.fa,S04_003_6_5_R,RI,stool,SRR9040472
SRR9040462_refinement_out_metawrap_50_10_bins_bin.5,SRR9040462_refinement_out_metawrap_50_10_bins_bin.5.fa,S04_059_6_9_R,RI,stool,SRR9040462
SRR9040405_refinement_out_metawrap_50_10_bins_bin.34,SRR9040405_refinement_out_metawrap_50_10_bins_bin.34.fa,S06_060_6_5_R,RI,stool,SRR9040405
SRR9040448_refinement_out_metawrap_50_10_bins_bin.4,SRR9040448_refinement_out_metawrap_50_10_bins_bin.4.fa,S06_108_3_9_R,RI,stool,SRR9040448
SRR9040445_refinement_out_metawrap_50_10_bins_bin.1,SRR9040445_refinement_out_metawrap_50_10_bins_bin.1.fa,S07_056_3_7_R,RI,stool,SRR9040445
SRR9040449_refinement_out_metawrap_50_10_bins_bin.8,SRR9040449_refinement_out_metawrap_50_10_bins_bin.8.fa,S09_024_B_5_R,RI,stool,SRR9040449
SRR9040433_refinement_out_metawrap_50_10_bins_bin.42,SRR9040433_refinement_out_metawrap_50_10_bins_bin.42.fa,S09_153_3_9_R,RI,stool,SRR9040433
SRR9040402_refinement_out_metawrap_50_10_bins_bin.34,SRR9040402_refinement_out_metawrap_50_10_bins_bin.34.fa,S10_010_6_6_R,RI,stool,SRR9040402
SRR9040403_refinement_out_metawrap_50_10_bins_bin.12,SRR9040403_refinement_out_metawrap_50_10_bins_bin.12.fa,S10_011_9_7_R,RI,stool,SRR9040403
SRR9040416_refinement_out_metawrap_50_10_bins_bin.4,SRR9040416_refinement_out_metawrap_50_10_bins_bin.4.fa,S10_012_6_6_R,RI,stool,SRR9040416
SRR9040477_refinement_out_metawrap_50_10_bins_bin.2,SRR9040477_refinement_out_metawrap_50_10_bins_bin.2.fa,S10_026_B_8_R,RI,stool,SRR9040477
SRR9040461_refinement_out_metawrap_50_10_bins_bin.25,SRR9040461_refinement_out_metawrap_50_10_bins_bin.25.fa,S13_030_3_6_R,RI,stool,SRR9040461
SRR9040432_refinement_out_metawrap_50_10_bins_bin.3,SRR9040432_refinement_out_metawrap_50_10_bins_bin.3.fa,S13_035_12_7_R,RI,stool,SRR9040432
SRR9040473_refinement_out_metawrap_50_10_bins_bin.10,SRR9040473_refinement_out_metawrap_50_10_bins_bin.10.fa,S21_012_12_7_R,RI,stool,SRR9040473
SRR9040458_refinement_out_metawrap_50_10_bins_bin.2,SRR9040458_refinement_out_metawrap_50_10_bins_bin.2.fa,S21_037_6_7_R,RI,stool,SRR9040458
SRR9040418_refinement_out_metawrap_50_10_bins_bin.13,SRR9040418_refinement_out_metawrap_50_10_bins_bin.13.fa,S23_025_9_9_R,RI,stool,SRR9040418
SRR9040419_refinement_out_metawrap_50_10_bins_bin.18,SRR9040419_refinement_out_metawrap_50_10_bins_bin.18.fa,S26_031_6_5_R,RI,stool,SRR9040419
SRR9040417_refinement_out_metawrap_50_10_bins_bin.17,SRR9040417_refinement_out_metawrap_50_10_bins_bin.17.fa,S29_013_6_9_R,RI,stool,SRR9040417
SRR9040412_refinement_out_metawrap_50_10_bins_bin.6,SRR9040412_refinement_out_metawrap_50_10_bins_bin.6.fa,S32_022_12_5_R,RI,stool,SRR9040412
SRR9040413_refinement_out_metawrap_50_10_bins_bin.36,SRR9040413_refinement_out_metawrap_50_10_bins_bin.36.fa,S32_027_B_5_R,RI,stool,SRR9040413
SRR9040434_refinement_out_metawrap_50_10_bins_bin.5,SRR9040434_refinement_out_metawrap_50_10_bins_bin.5.fa,S35_010_B_5_R,RI,stool,SRR9040434
SRR9040438_refinement_out_metawrap_50_10_bins_bin.6,SRR9040438_refinement_out_metawrap_50_10_bins_bin.6.fa,S36_007_B_7_R,RI,stool,SRR9040438
SRR9040420_refinement_out_metawrap_50_10_bins_bin.10,SRR9040420_refinement_out_metawrap_50_10_bins_bin.10.fa,S38_024_9_9_R,RI,stool,SRR9040420
SRR9040442_refinement_out_metawrap_50_10_bins_bin.2,SRR9040442_refinement_out_metawrap_50_10_bins_bin.2.fa,S39_011_6_7_R,RI,stool,SRR9040442
