user_genome,domain,phylum,class,order,family,genus,species,Unique_ptid,site_specific,Survey_Period
Met4805_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pettenkoferi,53,Tw,2
Met4825_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus auricularis,53,N,2
Met4826_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium aurimucosum_E,53,Ea,2
Met4827_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella,s__Hungatella effluvii,53,Ic,2
Met4828_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter baumannii,53,An,2
Met4830_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus simulans,53,Fg,2
Met4832_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,35,N,2
Met4836_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Finegoldia,s__Finegoldia magna,35,Tw,2
Met4837_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__,35,Fg,2
Met4840_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Alloiococcus,s__Alloiococcus otitis,23,Ea,2
Met4841_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Acidaminococcus,s__Acidaminococcus intestini,23,Ic,2
Met4842_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter baumannii,23,An,2
Met4843_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,23,Fg,2
Met4845_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium striatum,46,N,2
Met4847_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella pneumoniae,46,Ic,2
Met4849_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pettenkoferi,46,Fg,2
Met4851_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae,g__Aggregatibacter,s__Aggregatibacter segnis_A,28,N,2
Met4853_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster bolteae,28,Ic,2
Met4855_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,28,Tw,2
Met4858_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium kroppenstedtii_C,28,N,3
Met4859_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,28,Ea,3
Met4860_refinement_out_metawrap_50_10_bins_bin.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Proteus,s__Proteus mirabilis,28,Ic,3
