snp-dists 0.8.2	Met4849	Met4863	Met5668	Met5669	Met5687	Met5690	Met5722	Met5769	Met5771	Met5772	Met5778	Met5781	Met5782	Met5787	Met5796	Met5804	Met5810	Met5813	Met6294	Met7488	Met8572	Met8574	Met8580	Met8605	Met8606	Met8610	Met8611	Met8623	Met8625	Met8626	Met8646	Met8648	Met8654	Met8703	Met8713	Met8720	Met8727	Reference
Met4849	0	131	160	1891	400	582	551	568	612	635	591	117	175	494	95	168	497	434	340	33	574	87	343	598	566	391	251	284	152	245	61	102	42	9738	410	167	451	6367
Met4863	131	0	21	3177	12	33	26	32	35	45	24	8	49	29	14	19	16	12	35	11	26	3	13	27	21	15	24	22	22	25	13408	31	6	12168	17	9	26	9453
Met5668	160	21	0	3777	36	44	40	42	40	44	38	12	34	39	9	13	12	13	47	15	42	12	14	37	39	34	32	23	16	18	13272	34	15	12333	33	21	36	9560
Met5669	1891	3177	3777	0	12288	12916	12657	12847	12957	13013	12880	1185	4083	11930	1402	2600	2458	2231	11717	2155	12869	208	1324	12884	12901	10855	2549	3680	2011	2869	16067	4664	1262	104	11032	552	12347	8337
Met5687	400	12	36	12288	0	33	20	29	24	20	25	12	99	17	8	5	8	5	83	11	25	5	5	22	22	19	57	13	4	7	22075	57	17	23427	16	22	23	23168
Met5690	582	33	44	12916	33	0	25	25	26	31	20	25	88	26	31	20	13	13	84	30	20	32	10	34	20	14	68	23	12	19	23266	59	44	24444	17	35	22	24330
Met5722	551	26	40	12657	20	25	0	17	12	7	12	18	78	10	19	11	15	4	89	26	15	25	6	10	7	16	66	16	7	12	23029	65	34	24141	23	30	14	23936
Met5769	568	32	42	12847	29	25	17	0	12	22	12	22	83	21	24	13	21	9	86	29	12	31	4	20	15	10	64	12	12	14	23121	58	36	24321	29	26	17	24183
Met5771	612	35	40	12957	24	26	12	12	0	10	6	36	102	15	35	12	30	11	84	49	10	57	15	11	16	10	68	14	20	16	23316	63	67	24455	24	37	9	24425
Met5772	635	45	44	13013	20	31	7	22	10	0	13	24	98	26	12	4	123	102	87	91	15	30	63	10	7	20	79	18	5	3	23466	65	59	24585	21	69	80	24521
Met5778	591	24	38	12880	25	20	12	12	6	13	0	22	73	11	20	7	11	2	80	23	8	31	4	12	9	5	60	8	5	12	23251	60	43	24407	23	27	9	24318
Met5781	117	8	12	1185	12	25	18	22	36	24	22	0	22	18	11	6	40	51	34	34	22	5	15	34	20	14	20	15	10	12	10953	20	14	5192	7	15	39	6950
Met5782	175	49	34	4083	99	88	78	83	102	98	73	22	0	76	22	29	44	53	104	41	72	10	23	81	95	56	41	46	40	35	13303	61	19	12428	71	41	79	10439
