snp-dists 0.8.2	Met4841	Met4861	Met4880	Met4886	Met4887	Met5657	Met5663	Met5673	Met5674	Met5678	Met5696	Met5701	Met5722	Met5723	Met5727	Met5730	Met5739	Met5750	Met5763	Met5787	Met5788	Met5800	Met5804	Met7489	Met8574	Met8576	Met8578	Met8580	Met8583	Met8592	Met8605	Met8616	Met8639	Met8649	Met8727	Reference
Met4841	0	77	266	4842	12764	1174	1331	99	114	82	21	98	265	70	64	480	240	79	748	75	217	46	52	16	266	247	265	256	286	114	110140	42	41	116	102520	3012
Met4861	77	0	143	4933	12978	41	153	108	21	109	17	165	193	90	210	24	159	10	662	10	168	12	23	102	187	195	187	183	218	164	112605	16	12	80	104861	1266
Met4880	266	143	0	5071	13071	137	46	207	127	211	145	241	279	197	392	105	289	125	816	321	281	503	441	201	287	277	299	297	323	241	113083	109	198	101	105138	1159
Met4886	4842	4933	5071	0	48	5336	5409	5395	4545	5344	5170	1335	5471	5193	5126	3833	5408	5322	5997	6371	5655	4990	5231	5291	5101	5430	6037	6638	6621	5348	18426	6497	6487	5266	9406	8028
Met4887	12764	12978	13071	48	0	13514	13575	13543	12076	13496	13275	2795	13626	13283	13005	10431	13551	13494	12459	14026	13683	12764	13163	13454	12965	13542	13753	14263	14243	13495	18022	14027	14124	13419	8584	14847
Met5657	1174	41	137	5336	13514	0	78	8	7	11	2	27	182	5	1549	3	274	0	1897	2547	200	3987	2663	40	484	264	580	345	318	74	116514	4	21	706	108563	1603
Met5663	1331	153	46	5409	13575	78	0	169	84	161	104	217	236	147	1977	68	384	75	2067	2670	297	4153	2838	157	533	308	640	410	371	211	116948	60	174	709	109012	1394
Met5673	99	108	207	5395	13543	8	169	0	15	12	35	303	260	4	314	103	388	4	1227	125	254	55	67	68	322	350	402	416	428	129	116798	45	36	146	108857	1963
Met5674	114	21	127	4545	12076	7	84	15	0	16	12	125	196	11	206	24	140	11	646	245	157	488	293	46	191	176	183	183	207	59	104867	14	10	82	97504	1263
Met5678	82	109	211	5344	13496	11	161	12	16	0	52	123	268	11	43	84	311	11	1032	105	248	50	51	75	293	334	309	298	335	60	116508	36	37	137	108569	1656
Met5696	21	17	145	5170	13275	2	104	35	12	52	0	119	183	32	137	16	160	2	771	3	177	10	24	1	231	238	214	205	233	126	114887	1	2	79	106968	1489
Met5701	98	165	241	1335	2795	27	217	303	125	123	119	0	393	102	96	185	297	147	791	393	414	225	278	305	416	389	488	537	464	210	25659	217	282	215	21417	1375
Met5722	265	193	279	5471	13626	182	236	260	196	268	183	393	0	257	574	162	318	180	1198	200	302	217	225	266	352	317	389	395	414	333	116662	192	186	211	108885	1664
Met5723	70	90	197	5193	13283	5	147	4	11	11	32	102	257	0	6	84	248	2	681	78	231	9	17	67	254	284	314	306	338	89	114659	32	8	122	106794	1619
Met5727	64	210	392	5126	13005	1549	1977	314	206	43	137	96	574	6	0	911	414	234	749	246	514	218	194	389	520	506	586	562	487	154	112300	27	17	406	104315	3904
Met5730	480	24	105	3833	10431	3	68	103	24	84	16	185	162	84	911	0	107	3	1235	1025	141	1827	1116	88	218	138	224	162	171	109	92154	28	9	241	85720	1070
Met5739	240	159	289	5408	13551	274	384	388	140	311	160	297	318	248	414	107	0	253	935	195	344	279	210	271	328	343	134	112	149	382	117067	199	152	287	109093	1482
Met5750	79	10	125	5322	13494	0	75	4	11	11	2	147	180	2	234	3	253	0	1169	7	177	14	46	39	258	268	265	261	285	44	116857	10	24	45	108945	1537
Met5763	748	662	816	5997	12459	1897	2067	1227	646	1032	771	791	1198	681	749	1235	935	1169	0	760	1212	972	732	1151	1098	1101	703	716	728	1068	100578	590	725	1096	93427	3758
Met5787	75	10	321	6371	14026	2547	2670	125	245	105	3	393	200	78	246	1025	195	7	760	0	16	3	19	97	253	110	238	231	265	138	114098	40	12	66	106412	5869
Met5788	217	168	281	5655	13683	200	297	254	157	248	177	414	302	231	514	141	344	177	1212	16	0	152	153	255	230	250	425	419	458	328	116130	170	151	235	108376	2132
Met5800	46	12	503	4990	12764	3987	4153	55	488	50	10	225	217	9	218	1827	279	14	972	3	152	0	11	154	386	174	243	228	258	39	110941	46	7	51	103330	6233
Met5804	52	23	441	5231	13163	2663	2838	67	293	51	24	278	225	17	194	1116	210	46	732	19	153	11	0	94	324	173	227	228	254	48	112757	56	9	96	105055	4801
Met7489	16	102	201	5291	13454	40	157	68	46	75	1	305	266	67	389	88	271	39	1151	97	255	154	94	0	297	320	349	337	376	144	115888	32	38	131	108044	1636
