snp-dists 0.8.2	Met4856	Met4858	Met5660	Met5666	Met5701	Met5740	Met5752	Met5753	Met5773	Met5777	Met5781	Met5787	Met5788	Met5807	Met6291	Met7516	Met8655	Met8699	Reference
Met4856	0	1003	3	0	2	2152	3	7	921	1072	45	1184	696	1084	1159	9	1173	13825	129
Met4858	1003	0	28019	9676	18204	5362	17202	18050	45	42	26	54	78	73	41	14867	48	32094	31672
Met5660	3	28019	0	0	1	10498	3	7	27803	28214	213	28198	26368	28000	28282	18	28300	25731	297
Met5666	0	9676	0	0	0	5010	2	6	9565	9799	82	9889	8830	9709	9905	13	9907	18620	168
Met5701	2	18204	1	0	0	2311	2	3	17939	18360	122	18392	16630	18128	18461	4	18472	4523	197
Met5740	2152	5362	10498	5010	2311	0	3888	2555	5354	5451	2384	5493	4912	4924	5501	792	5517	267	12367
Met5752	3	17202	3	2	2	3888	0	1	17007	17348	116	17380	15875	17195	17427	20	17454	17836	197
Met5753	7	18050	7	6	3	2555	1	0	17726	18235	149	18322	16482	18095	18373	19	18379	17045	241
Met5773	921	45	27803	9565	17939	5354	17007	17726	0	65	11	50	90	47	50	14721	43	32072	31205
Met5777	1072	42	28214	9799	18360	5451	17348	18235	65	0	51	72	118	76	46	14979	50	32182	31865
Met5781	45	26	213	82	122	2384	116	149	11	51	0	91	45	50	46	64	47	16336	144
Met5787	1184	54	28198	9889	18392	5493	17380	18322	50	72	91	0	61	92	34	14991	39	32321	31986
Met5788	696	78	26368	8830	16630	4912	15875	16482	90	118	45	61	0	120	85	13879	92	30596	29311
Met5807	1084	73	28000	9709	18128	4924	17195	18095	47	76	50	92	120	0	24	14756	15	28584	31739
Met6291	1159	41	28282	9905	18461	5501	17427	18373	50	46	46	34	85	24	0	15028	18	32360	32083
Met7516	9	14867	18	13	4	792	20	19	14721	14979	64	14991	13879	14756	15028	0	15041	922	156
Met8655	1173	48	28300	9907	18472	5517	17454	18379	43	50	47	39	92	15	18	15041	0	32372	32105
Met8699	13825	32094	25731	18620	4523	267	17836	17045	32072	32182	16336	32321	30596	28584	32360	922	32372	0	29965
Reference	129	31672	297	168	197	12367	197	241	31205	31865	144	31986	29311	31739	32083	156	32105	29965	0
