snp-dists 0.8.2	Met4847	Met4853	Met4860	Met4861	Met4873	Met4880	Met5664	Met5668	Met5673	Met5678	Met5680	Met5682	Met5694	Met5696	Met5700	Met5701	Met5709	Met5712	Met5722	Met5723	Met5727	Met5734	Met5737	Met5739	Met5740	Met5742	Met5746	Met5749	Met5750	Met5752	Met5753	Met5754	Met5755	Met5762	Met5763	Met5764	Met5766	Met5769	Met5776	Met5778	Met5781	Met5782	Met5787	Met5788	Met5789	Met5796	Met5798	Met5799	Met5800	Met5801	Met5804	Met5805	Met5806	Met6291	Met7489	Met7502	Met7520	Met7521	Met7522	Met7523	Met7524	Met7526	Met8572	Met8574	Met8578	Met8579	Met8580	Met8583	Met8586	Met8592	Met8596	Met8597	Met8602	Met8603	Met8605	Met8610	Met8611	Met8612	Met8616	Met8623	Met8625	Met8626	Met8638	Met8639	Met8641	Met8644	Met8646	Met8649	Met8650	Met8651	Met8653	Met8654	Met8655	Met8661	Met8662	Met8665	Met8699	Met8703	Met8721	Met8727	Met8730	Met8732	Reference
Met4847	0	7	150	208	947	7	1535	307	1185	280	82	3871	3509	290	873	347	5145	145	252	743	11	10	131	13	25	5885	196	264	1064	21	59	5685	95	80	4872	4984	3998	749	346	3455	112	110	4960	4941	837	2	29	169	4934	6006	4956	5857	707	245	174	508	282	573	730	69	29	816	7	10	333	347	707	1431	5858	354	1004	446	185	51	322	4029	1321	312	270	6	28	15	4817	4885	5358	6005	5918	190	13	6	265	17	1327	2500	975	822	1165	4893	2611	331	822	539	5875
Met4853	7	0	62	34	14	24	3997	18	836	17	16	545	448	10	27	9	4362	50	39	77	10	13	250	10	31	4930	113	29	132	8	33	4789	41	3	4477	4602	3891	34	10	3246	141	207	757	750	12	2	19	6	736	5057	762	4909	99	19	10	15	16	24	10	64	13	9	4	10	258	226	387	1004	4924	10	53	10	222	11	36	3765	1007	33	11	8	8	4	708	737	4484	5057	4964	52	12	8	10	19	4452	336	31	26	759	4522	2152	12	29	19	4906
Met4860	150	62	0	10	1830	1028	2948	151	212	198	128	243	232	71	1739	125	1476	434	94	71	59	129	407	157	125	1689	94	81	84	53	99	1688	22	59	1329	2994	2791	1527	259	1056	35	33	316	309	1764	1072	864	66	322	1751	311	1690	98	707	84	1172	352	1240	1624	116	1047	1720	60	1063	18	27	52	106	1698	103	1870	372	192	170	200	1179	478	201	51	55	145	196	303	308	1560	1751	1703	102	72	203	817	93	3223	185	1837	1715	137	2985	781	231	1763	1154	1711
Met4861	208	34	10	0	169	3592	3561	11	146	47	59	6	26	10	122	24	11	133	34	26	58	260	873	93	88	10	22	62	52	18	19	7	2	5	3835	3906	3862	82	18	3094	1	2	95	84	169	3832	2975	19	67	10	95	12	11	59	12	96	23	58	107	1	3652	123	22	3757	1	4	3	4	11	49	232	75	75	24	82	3375	1082	86	16	57	164	379	32	52	12	10	11	48	35	317	114	61	3804	9	198	100	154	3792	1	52	189	70	106
Met4873	947	14	1830	169	0	10022	11450	9	6802	1	11	10638	8088	27	38	9	12760	90	693	5759	10	930	7065	8	362	13757	3851	4270	6483	5332	5784	13614	4115	10	13050	13334	12114	96	24	11108	3306	3716	13247	13211	16	13370	10583	15	13157	13975	13228	13694	870	19	72	10	38	80	8	6929	12973	15	9	11032	4006	3196	2471	6644	13772	8	14	6	1095	60	37	11853	2503	21	5	2887	6816	5913	12896	13088	12945	13977	13867	2871	3531	1219	2	335	12978	5554	10	46	6638	13196	9103	5	28	41	13799
Met4880	7	24	1028	3592	10022	0	10805	5286	5999	5070	4029	10101	9793	5075	9588	5459	12023	5454	4077	4623	48	27	601	34	315	13010	4517	2927	5673	40	139	12512	253	2692	11998	12192	8014	8320	5415	7787	2972	3341	12007	11969	9175	12	66	3828	11976	13189	11986	12975	5794	6061	4546	6709	4188	6595	8099	61	69	8893	15	23	3685	3642	5124	6292	13030	5443	10102	6015	4598	3240	5395	9698	6724	5410	4457	27	31	26	11752	11870	11815	13189	13102	1162	12	14	2353	61	10883	8337	10052	9240	5928	12050	6219	5327	8744	5969	13062
Met5664	1535	3997	2948	3561	11450	10805	0	5633	6122	5419	18	10363	9915	5315	11036	5792	11163	13	4314	5238	66	4492	6255	5640	24	12910	51	4200	5754	4705	5059	12702	4350	1418	12147	12339	11018	9699	5737	10264	82	44	12068	12041	10990	11959	10183	4129	12042	13037	12070	12891	6009	6835	4786	7247	5895	8617	10551	6203	11621	10927	4087	11231	609	1822	5030	6207	12912	5790	11525	6483	26	23	5763	11061	7162	5758	4526	4097	5844	5997	11835	11957	12231	13038	12986	5649	4945	5938	7710	200	11834	8567	11474	10743	6020	12229	8817	5917	11005	8694	12939
Met5668	307	18	151	11	9	5286	5633	0	195	7	7	5181	4401	31	23	12	5745	71	8	106	16	412	2130	14	126	6452	973	149	104	79	66	6333	336	16	6047	6463	5886	27	11	4876	57	509	6538	6513	9	6366	5059	10	6482	6553	6531	6434	532	19	20	11	18	41	5	1879	6204	9	21	5614	65	64	642	1758	6461	16	26	19	12	24	36	5358	1338	37	5	149	187	620	6352	6457	6012	6551	6481	1052	1062	587	13	118	6294	3062	13	29	114	6378	3631	8	36	22	6437
Met5673	1185	836	212	146	6802	5999	6122	195	0	43	182	5273	5032	1573	6459	1877	6124	2130	7	146	545	1241	2283	1991	776	6843	1283	10	149	150	162	6786	486	848	104	5915	5321	5630	2089	25	88	76	6486	6458	6497	6683	5467	218	6459	7012	6475	6814	2203	2921	1278	4684	1372	4654	5925	2084	6497	6371	979	6232	38	42	103	75	6854	1901	6868	2644	232	727	35	20	23	40	153	318	315	905	6324	6395	6352	7013	6881	2010	1453	2171	3862	992	6441	4052	6745	6278	57	5847	3929	242	6525	4639	6837
Met5678	280	17	198	47	1	5070	5419	7	43	0	10	4592	3898	21	17	10	6020	62	5	863	13	339	2049	19	82	6699	849	36	1193	1162	1293	6597	954	7	127	5348	4870	47	11	27	95	58	5816	5800	5	6224	4901	8	5782	6842	5821	6677	457	14	12	6	17	38	6	2032	5992	7	16	5492	78	49	61	123	6703	4	21	8	294	26	4	25	16	5	8	537	1639	1546	5636	5747	6233	6842	6735	953	964	489	11	105	5954	2682	4	23	80	5275	3768	1	24	17	6703
