Sample,DB,gene,allele,coverage,depth,diffs,uncertainty,divergence,length,maxMAF,clusterid,seqid,annotation
Met8571,CARD_v3.0.8_SRST2,VanSB_Gly,vanSB_2057,100,188.981,49snp,,3.646,1344,0.5,213,2057,
Met8571,CARD_v3.0.8_SRST2,VanSG_Gly,vanSG_2062,100,43.157,,,0,1107,0.372,218,2062,
Met8571,CARD_v3.0.8_SRST2,LnuB_MLS,lnuB_2162,99.005,12.154,31snp8holes,edge0.0,3.894,804,0.167,271,2162,
Met8571,CARD_v3.0.8_SRST2,LnuC_MLS,lnuC_2163,100,86.258,4snp,,0.808,495,0.078,272,2163,
Met8571,CARD_v3.0.8_SRST2,Dfr_Tmt,dfrA1.v1_2357,97.468,2.562,12holes,edge0.0,0,474,0,390,2357,
Met8571,CARD_v3.0.8_SRST2,CblA_Bla,cblA-1_342,100,23.904,9snp,,1.01,891,0.091,64,342,
Met8571,CARD_v3.0.8_SRST2,CepA_Bla,cepA_344,100,9.212,10snp,,1.107,903,0.167,66,344,
Met8571,CARD_v3.0.8_SRST2,VanXB_Gly,vanXB_2079,99.836,184.649,10snp2indel,,1.642,609,0.492,235,2079,
Met8571,CARD_v3.0.8_SRST2,CfxA_Bla,cfxA3_350,100,443.578,,,0,966,0.186,69,350,
Met8571,CARD_v3.0.8_SRST2,PC1_Bla,PC1-6_1370,96.809,6.313,17snp27holes,,2.076,846,0.364,119,1370,
Met8571,CARD_v3.0.8_SRST2,VanWB_Gly,vanWB_2075,100,152.265,37snp,,4.469,828,0.5,231,2075,
Met8571,CARD_v3.0.8_SRST2,Sul_Sul,sul1_2283,92.143,3.605,66holes,edge0.0,0,840,0.286,338,2283,
Met8571,CARD_v3.0.8_SRST2,VanVB_Gly,vanVB_2074,100,106.208,,,0,345,0.042,230,2074,
Met8571,CARD_v3.0.8_SRST2,VanB_Gly,vanB_2026,100,184.245,28snp,,2.721,1029,0.5,182,2026,
Met8571,CARD_v3.0.8_SRST2,Tet-32_Tet,tet32.v1_2293,100,227.868,18snp,,0.938,1920,0.269,345,2293,
Met8571,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib-cr.v2_48,90.167,4.793,1snp59holes,edge0.0,0.185,600,0.333,3,48,
Met8571,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA_93,99.621,5.014,2snp3indel,edge2.0,0.253,792,0,5,93,
Met8571,CARD_v3.0.8_SRST2,VanD_Gly,vanD_2028,100,23.981,37snp,,3.585,1032,0.25,184,2028,
Met8571,CARD_v3.0.8_SRST2,TetB_Tet,tetB.v2_2325,96.434,3.916,6snp43holes,edge2.0,0.516,1206,0.25,369,2325,
Met8571,CARD_v3.0.8_SRST2,LsaE_MLS,lsaE_2172,99.005,12.164,30snp8holes,edge0.0,3.769,804,0.167,280,2172,
Met8571,CARD_v3.0.8_SRST2,VanHB_Gly,vanHB_2033,99.897,191.739,41snp2indel,,4.218,972,0.49,189,2033,
Met8571,CARD_v3.0.8_SRST2,VanRB_Gly,vanRB_2045,100,166.066,27snp,,4.072,663,0.467,201,2045,
Met8571,CARD_v3.0.8_SRST2,VanRD_Gly,vanRD_2047,93.848,24.452,29snp43holes,,4.421,699,0.5,203,2047,
Met8571,CARD_v3.0.8_SRST2,ANT6_AGly,aadS_133,100,173.771,3snp,,0.347,864,0.024,7,133,
Met8571,CARD_v3.0.8_SRST2,VanRG_Gly,vanRG_2050,100,43.178,2snp,,0.282,708,0.492,206,2050,
Met8571,CARD_v3.0.8_SRST2,VanYB_Gly,vanYB_2091,100,146.387,43snp,,5.328,807,0.491,247,2091,
Met8571,CARD_v3.0.8_SRST2,TetW_Tet,tetW_2351,100,1486.695,40snp,,2.083,1920,0.37,384,2351,
Met8571,CARD_v3.0.8_SRST2,TetX_Tet,tetX_2352,100,195.869,2snp,,0.171,1167,0.288,385,2352,
Met8571,CARD_v3.0.8_SRST2,VanUG_Gly,vanUG_2073,100,28.782,,,0,228,0.143,229,2073,
Met8571,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,100,68.402,,,0,795,0.062,11,153,
Met8571,CARD_v3.0.8_SRST2,ACI_Bla,ACI-1_202,100,6.292,1snp,,0.117,855,0.5,33,202,
Met8571,CARD_v3.0.8_SRST2,TetO_Tet,tetO_2344,100,225.264,4snp,,0.208,1920,0.361,379,2344,
Met8571,CARD_v3.0.8_SRST2,TetM_Tet,tetM.v2_2343,99.948,43.916,47snp2indel,,2.448,1920,0.476,378,2343,
Met8571,CARD_v3.0.8_SRST2,Erm_MLS,ermG.v1_2144,100,24.671,5snp,,0.68,735,0.167,267,2144,
Met8571,CARD_v3.0.8_SRST2,TetJ_Tet,tetJ_2338,90.56,4.592,14snp113holes,depth4.592,1.292,1197,0.25,375,2338,
Met8684,CARD_v3.0.8_SRST2,APH3'_AGly,aph3-Ia.v1_165,100,56.745,1snp,,0.123,816,0.421,11,165,
Met8684,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,9.916,1snp,,0.124,804,0.182,10,146,
Met8684,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v2_172,100,14.19,1snp,edge2.0,0.119,837,0.375,13,172,
Met8684,CARD_v3.0.8_SRST2,Sul_Sul,sul1_2283,99.762,164.769,2holes,edge0.0,0,840,0.031,338,2283,
Met8684,CARD_v3.0.8_SRST2,VgaA_MLS,vgaA_2215,100,29.347,28snp,,1.785,1569,0.179,317,2215,
Met8684,CARD_v3.0.8_SRST2,Cmr_Phe,cmx_2268,100,318.55,1snp,,0.085,1176,0.438,331,2268,
Met8684,CARD_v3.0.8_SRST2,ACT_Bla,ACT-17_210,100,6.793,19snp,,1.658,1146,0.25,34,210,
Met8684,CARD_v3.0.8_SRST2,StrB_AGly,strB.v1_2410,100,14.19,,edge2.0,0,837,0.375,392,2410,
Met8684,CARD_v3.0.8_SRST2,StrA_AGly,strA.v1_2409,100,9.917,,,0,804,0.182,391,2409,
Met8684,CARD_v3.0.8_SRST2,Dfr_Tmt,dfrC_2400,100,15.421,5snp,,1.029,486,0.458,390,2400,
Met8684,CARD_v3.0.8_SRST2,Erm_MLS,ermC.v1_2138,100,746.989,,,0,735,0.11,267,2138,
Met8684,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,150.384,,,0,762,0.03,6,128,
Met8684,CARD_v3.0.8_SRST2,MsrA_MLS,msrA.v1_2191,100,10.756,9snp,,0.613,1467,0.429,296,2191,
Met8684,CARD_v3.0.8_SRST2,TetW_Tet,tetW/N/W_2350,97.031,168.074,54snp2indel56holes,edge0.0,2.897,1920,0.375,384,2350,
Met8684,CARD_v3.0.8_SRST2,PC1_Bla,PC1-6_1370,100,48.238,15snp,,1.773,846,0.469,119,1370,
Met8684,CARD_v3.0.8_SRST2,MphC_MLS,mphC.v1_2177,100,6.305,,edge1.0,0,900,0.5,284,2177,
Met8684,CARD_v3.0.8_SRST2,TetK_Tet,tetK_2339,98.623,8.642,1snp19holes,edge0.0,0.073,1380,0.333,376,2339,
Sample,DB,gene,allele,coverage,depth,diffs,uncertainty,divergence,length,maxMAF,clusterid,seqid,annotation
Met8572,CARD_v3.0.8_SRST2,Sul_Sul,sul2_2284,100,24.854,,,0,816,0.069,338,2284,
Met8572,CARD_v3.0.8_SRST2,LnuB_MLS,lnuB_2162,94.03,4.398,27snp48holes,edge2.0,3.571,804,0.5,271,2162,
Met8572,CARD_v3.0.8_SRST2,LnuC_MLS,lnuC_2163,100,24.661,4snp,,0.808,495,0.105,272,2163,
Met8572,CARD_v3.0.8_SRST2,Dfr_Tmt,dfrA1.v1_2357,100,27.787,,,0,474,0.091,390,2357,
Met8572,CARD_v3.0.8_SRST2,CfxA_Bla,cfxA3_350,100,95.753,,,0,966,0.34,69,350,
Met8572,CARD_v3.0.8_SRST2,VanXB_Gly,vanXB_2079,99.836,68.656,10snp2indel,,1.642,609,0.456,235,2079,
Met8572,CARD_v3.0.8_SRST2,VanYG1_Gly,vanYG1_2094,90.238,6.265,4snp82holes,edge0.0,0.528,840,0.2,250,2094,
Met8572,CARD_v3.0.8_SRST2,DHA_Bla,DHA-12_638,99.298,8.387,84snp8holes,,7.42,1140,0.111,81,638,
Met8572,CARD_v3.0.8_SRST2,VanVB_Gly,vanVB_2074,100,30.147,,,0,345,0.08,230,2074,
Met8572,CARD_v3.0.8_SRST2,VanWB_Gly,vanWB_2075,100,69.287,35snp,,4.227,828,0.5,231,2075,
Met8572,CARD_v3.0.8_SRST2,VanSB_Gly,vanSB_2057,100,70.083,49snp,edge2.0,3.646,1344,0.5,213,2057,
Met8572,CARD_v3.0.8_SRST2,VanB_Gly,vanB_2026,100,68.037,6snp,,0.583,1029,0.494,182,2026,
Met8572,CARD_v3.0.8_SRST2,SAT_AGly,sat-2_193,100,20.553,,,0,525,0.077,29,193,
Met8572,CARD_v3.0.8_SRST2,AAC2'_AGly,aac2'-Ia_1,100,86.139,1snp,,0.186,537,0.469,1,1,
Met8572,CARD_v3.0.8_SRST2,Tet-32_Tet,tet32.v1_2293,100,19.463,18snp,,0.938,1920,0.478,345,2293,
Met8572,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v2_53,100,8.698,1snp,,0.18,555,0.182,3,53,
Met8572,CARD_v3.0.8_SRST2,ANT3''_AGly,aadA_93,99.621,31.037,2snp3indel,,0.253,792,0.2,5,93,
Met8572,CARD_v3.0.8_SRST2,ANT6_AGly,aadS_133,100,31.58,3snp,,0.347,864,0.071,7,133,
Met8572,CARD_v3.0.8_SRST2,TetB_Tet,tetB.v2_2325,100,92.422,4snp,,0.332,1206,0.33,369,2325,
Met8572,CARD_v3.0.8_SRST2,LsaE_MLS,lsaE_2172,94.03,4.398,26snp48holes,edge2.0,3.439,804,0.5,280,2172,
Met8572,CARD_v3.0.8_SRST2,VanHB_Gly,vanHB_2033,99.897,64.795,40snp2indel,,4.115,972,0.489,189,2033,
Met8572,CARD_v3.0.8_SRST2,VanRB_Gly,vanRB_2045,100,61.809,27snp,,4.072,663,0.5,201,2045,
Met8572,CARD_v3.0.8_SRST2,VanXYG_Gly,vanXYG_2087,97.516,5.527,32snp1indel18holes,,4.284,765,0.5,243,2087,
Met8572,CARD_v3.0.8_SRST2,TEM_Bla,TEM-198_1654,100,11.3,2snp,edge2.0,0.232,861,0.5,143,1654,
Met8572,CARD_v3.0.8_SRST2,VanRG_Gly,vanRG_2050,98.305,9.753,6snp12holes,edge0.0,0.862,708,0.5,206,2050,
Met8572,CARD_v3.0.8_SRST2,VanYB_Gly,vanYB_2091,100,58.457,39snp,,4.833,807,0.5,247,2091,
Met8572,CARD_v3.0.8_SRST2,TetW_Tet,tetW_2351,100,1008.957,40snp,,2.083,1920,0.335,384,2351,
Met8572,CARD_v3.0.8_SRST2,TetX_Tet,tetX_2352,100,53.543,2snp,,0.171,1167,0.479,385,2352,
Met8572,CARD_v3.0.8_SRST2,VanUG_Gly,vanUG_2073,100,6.419,,edge2.0,0,228,0,229,2073,
Met8572,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,100,50.489,,,0,795,0.065,11,153,
Met8572,CARD_v3.0.8_SRST2,ACI_Bla,ACI-1_202,100,16.127,1snp,,0.117,855,0.143,33,202,
Met8572,CARD_v3.0.8_SRST2,OXA_Bla,OXA-9.v1_1020,99.762,2.998,5snp2holes,edge0.0,0.597,840,0.333,117,1020,
Met8572,CARD_v3.0.8_SRST2,TetO_Tet,tetO_2344,100,124.908,4snp,,0.208,1920,0.452,379,2344,
Met8572,CARD_v3.0.8_SRST2,TetM_Tet,tetM.v2_2343,99.948,29.623,54snp2indel,,2.813,1920,0.5,378,2343,
Met8572,CARD_v3.0.8_SRST2,VanD_Gly,vanD_2028,100,8.529,32snp,,3.101,1032,0.5,184,2028,
Met8572,CARD_v3.0.8_SRST2,TetD_Tet,tetD_2331,100,17.04,62snp,,5.232,1185,0.111,371,2331,
Met8572,CARD_v3.0.8_SRST2,Erm_MLS,ermX_2156,99.883,13.371,4snp2indel,edge2.0,0.468,855,0.143,267,2156,
Met8572,CARD_v3.0.8_SRST2,Cat_Phe,catIII_2253,100,86.151,5snp,,0.779,642,0.463,326,2253,
Met8572,CARD_v3.0.8_SRST2,TetJ_Tet,tetJ_2338,100,226.087,18snp,,1.504,1197,0.022,375,2338,
Sample,DB,gene,allele,coverage,depth,diffs,uncertainty,divergence,length,maxMAF,clusterid,seqid,annotation
Met8573,CARD_v3.0.8_SRST2,VEB_Bla,VEB-9_1818,94.111,5.752,53holes,,0,900,0,150,1818,
Met8573,CARD_v3.0.8_SRST2,Sul_Sul,sul1_2283,100,16.977,,,0,840,0.1,338,2283,
Met8573,CARD_v3.0.8_SRST2,Cmr_Phe,cmx_2268,100,258.074,,,0,1176,0.034,331,2268,
Met8573,CARD_v3.0.8_SRST2,StrB_AGly,strB.v1_2410,100,367.357,,,0,837,0.023,392,2410,
Met8573,CARD_v3.0.8_SRST2,OXA_Bla,OXA-9.v1_1020,94.524,7.997,46holes,edge1.0,0,840,0.25,117,1020,
Met8573,CARD_v3.0.8_SRST2,Dfr_Tmt,dfrA1.v1_2357,100,9.691,,,0,474,0.125,390,2357,
Met8573,CARD_v3.0.8_SRST2,PC1_Bla,PC1-6_1370,100,217.837,15snp,,1.773,846,0.495,119,1370,
Met8573,CARD_v3.0.8_SRST2,NorA_Flq,norA_1920,100,12.548,,,0,1167,0.222,170,1920,
Met8573,CARD_v3.0.8_SRST2,SAT_AGly,sat-4_195,100,104.647,1snp,,0.184,543,0.042,29,195,
Met8573,CARD_v3.0.8_SRST2,AAC6'_AGly,aac6'-Ib'.v1_52,100,10.076,,,0,606,0.167,3,52,
Met8573,CARD_v3.0.8_SRST2,Cat_Phe,catIII_2253,100,3.264,4snp,edge2.0,0.623,642,0.5,326,2253,
Met8573,CARD_v3.0.8_SRST2,ANT2''_AGly,ant2''-Ia_92,100,10.25,,,0,534,0.167,4,92,
Met8573,CARD_v3.0.8_SRST2,ANT6_AGly,ant6-Ia.v1_136,100,104.344,,,0,909,0.339,7,136,
Met8573,CARD_v3.0.8_SRST2,ANT4'_AGly,ant4'-Ib_128,100,530.503,,,0,762,0.097,6,128,
Met8573,CARD_v3.0.8_SRST2,ANT3''_AGly,ant3''-IIa_124,97.634,8.183,2snp10indel13holes,edge0.0,0.209,972,0.5,5,124,
Met8573,CARD_v3.0.8_SRST2,MphC_MLS,mphC.v1_2177,100,44.617,,,0,900,0.04,284,2177,
Met8573,CARD_v3.0.8_SRST2,TEM_Bla,TEM-150_1641,100,15.715,1snp,,0.116,861,0.313,143,1641,
Met8573,CARD_v3.0.8_SRST2,VgaA_MLS,vgaA_2215,100,72.292,8snp,,0.51,1569,0.271,317,2215,
Met8573,CARD_v3.0.8_SRST2,TetB_Tet,tetB.v2_2325,90.63,6.41,5snp113holes,edge2.0,0.457,1206,0.5,369,2325,
Met8573,CARD_v3.0.8_SRST2,TetW_Tet,tetW/N/W_2350,96.354,64.306,52snp2indel69holes,edge0.0,2.809,1920,0.143,384,2350,
Met8573,CARD_v3.0.8_SRST2,FosB_Fcyn,fosB.1_1906,100,11.99,1snp,edge1.0,0.238,420,0.143,164,1906,
Met8573,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-Ia_148,100,375.78,,,0,816,0.018,11,148,
Met8573,CARD_v3.0.8_SRST2,APH3''_AGly,aph3''-Ib_146,100,299.286,1snp,,0.124,804,0.353,10,146,
Met8573,CARD_v3.0.8_SRST2,APH6_AGly,aph6-Id.v1_171,100,367.161,1snp,,0.119,837,0.023,13,171,
Met8573,CARD_v3.0.8_SRST2,StrA_AGly,strA.v1_2409,100,299.58,,,0,804,0.353,391,2409,
Met8573,CARD_v3.0.8_SRST2,Tet-38_Tet,tet38_2299,100,14.361,,,0,1353,0.125,350,2299,
Met8573,CARD_v3.0.8_SRST2,MsrA_MLS,msrA.v1_2191,100,386.434,,,0,1467,0.141,296,2191,
Met8573,CARD_v3.0.8_SRST2,Erm_MLS,ermA_2135,100,121.132,1snp,,0.137,732,0.335,267,2135,
Met8573,CARD_v3.0.8_SRST2,TetA_Tet,tetA_2319,99.805,199.71,57snp3indel1holes,,3.699,1542,0.083,368,2319,
Met8686,CARD_v3.0.8_SRST2,APH3'_AGly,aph3'-IIIa_153,100,21.454,1snp,,0.126,795,0.462,11,153,
Met8686,CARD_v3.0.8_SRST2,TetM_Tet,tetM.v2_2343,100,43.314,16snp,,0.833,1920,0.5,378,2343,
Met8686,CARD_v3.0.8_SRST2,SAT_AGly,sat-4_195,100,14.5,1snp,,0.184,543,0.167,29,195,
Met8686,CARD_v3.0.8_SRST2,TetO_Tet,tetO_2344,100,117.559,10snp,,0.521,1920,0.491,379,2344,
Met8686,CARD_v3.0.8_SRST2,Tet-32_Tet,tet32.v1_2293,100,25.26,55snp,,2.865,1920,0.5,345,2293,
Met8686,CARD_v3.0.8_SRST2,LnuC_MLS,lnuC_2163,99.798,7.976,5snp1indel,,1.01,495,0.389,272,2163,
Met8686,CARD_v3.0.8_SRST2,Dfr_Tmt,dfrF_2404,100,16.847,,,0,495,0.045,390,2404,
Met8686,CARD_v3.0.8_SRST2,TetW_Tet,tetW/N/W_2350,100,315.629,47snp,,2.448,1920,0.495,384,2350,
Met8686,CARD_v3.0.8_SRST2,Tet-40_Tet,tet40_2301,100,35.615,8snp,,0.655,1221,0.486,352,2301,
Met8686,CARD_v3.0.8_SRST2,ANT6_AGly,aadS_133,100,67.786,3snp,,0.347,864,0.043,7,133,
