snp-dists 0.8.2	Met4841	Met4847	Met4860	Met4873	Met4880	Met5657	Met5663	Met5668	Met5669	Met5686	Met5701	Met5703	Met5709	Met5712	Met5723	Met5727	Met5739	Met5740	Met5741	Met5749	Met5750	Met5753	Met5763	Met5764	Met5766	Met5787	Met5791	Met5792	Met5801	Met5802	Met5804	Met5806	Met5809	Met6290	Met7494	Met7520	Met8587	Met8615	Met8616	Met8635	Met8639	Met8644	Met8648	Met8661	Met8662	Met8665	Met8697	Met8710	Met8720	Reference
Met4841	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met4847	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met4860	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met4873	1	1	1	0	1	1	16	1	2	624	1	2	17	2	1	1	1	1	1	1	1	1	17	20	20	3	2	2	6	647	646	1	1	2	2	1	4	1	1	2	2	6	6	3	1	1	752	19	3	29
Met4880	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met5657	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met5663	15	15	15	16	15	15	0	15	16	635	15	16	9	16	15	15	15	15	15	15	15	15	31	12	12	17	16	16	20	658	657	15	15	16	16	15	18	15	15	16	16	20	10	17	15	15	763	11	17	44
Met5668	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met5669	1	1	1	2	1	1	16	1	0	624	1	2	17	2	1	1	1	1	1	1	1	1	17	20	20	3	0	0	6	648	647	1	1	0	0	1	2	1	1	2	2	6	6	3	1	1	752	19	1	30
Met5686	623	623	623	624	623	623	635	623	624	0	623	624	635	624	623	623	623	623	623	623	623	623	633	638	638	625	624	624	628	223	224	623	623	624	624	623	626	623	623	624	624	628	626	623	623	623	1264	638	625	617
Met5701	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met5703	1	1	1	2	1	1	16	1	2	624	1	0	17	2	1	1	1	1	1	1	1	1	17	20	20	3	2	2	6	648	647	1	1	2	2	1	4	1	1	2	2	6	6	3	1	1	752	19	3	30
Met5709	16	16	16	17	16	16	9	16	17	635	16	17	0	17	16	16	16	16	16	16	16	16	32	13	13	18	17	17	21	657	656	16	16	17	17	16	19	16	16	17	17	21	11	18	16	16	764	12	18	45
Met5712	1	1	1	2	1	1	16	1	2	624	1	2	17	0	1	1	1	1	1	1	1	1	17	20	20	3	2	2	6	648	647	1	1	2	2	1	4	1	1	2	2	6	6	3	1	1	751	19	3	30
Met5723	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met5727	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met5739	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met5740	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met5741	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met5749	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met5750	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
Met5753	0	0	0	1	0	0	15	0	1	623	0	1	16	1	0	0	0	0	0	0	0	0	16	19	19	2	1	1	5	647	646	0	0	1	1	0	3	0	0	1	1	5	5	2	0	0	751	18	2	29
