snp-dists 0.8.2	Met4843	Met4849	Met4855	Met4863	Met4874	Met4888	Met5659	Met5667	Met5670	Met5676	Met5685	Met5698	Met5711	Met5713	Met5725	Met5726	Met5736	Met5744	Met5748	Met5756	Met5757	Met5758	Met5760	Met5761	Met5762	Met5765	Met5767	Met5768	Met5774	Met5780	Met5783	Met5784	Met5790	Met5793	Met5795	Met5798	Met5807	Met5814	Met7492	Met7497	Met7503	Met7504	Met7505	Met7518	Met8573	Met8574	Met8599	Met8615	Met8618	Met8619	Met8630	Met8631	Met8632	Met8633	Met8636	Met8637	Met8642	Met8643	Met8650	Met8656	Met8657	Met8658	Met8659	Met8663	Met8672	Met8684	Met8690	Met8691	Met8696	Met8702	Met8704	Met8711	Met8714	Met8719	Met8724	Met8726	Met8729	Met8732	Reference
Met4843	0	38811	28	0	33	390	830	47	0	38	0	15	0	152	14	8	21	0	2837	699	25	358	15	54	633	741	742	388	8	384	21	20	20	36	20	27	808	2	23	21	864	876	882	639	280	723	52606	1	25	26	25	737	627	23	881	25	469	445	0	11	13	373	383	0	521	383	21505	857	2855	391	21	1	62099	10	7	0	414	428	669
Met4849	38811	0	38147	27923	38895	38656	38974	38949	81	23328	38848	38613	38866	30714	4	32653	38318	38871	10	38836	38706	38840	38344	38659	13977	34879	35215	38703	38098	2351	38652	38044	38609	38943	38816	38676	35128	22295	37532	38678	38784	38838	39017	37558	35619	35984	109	37648	38661	38340	38555	39020	38730	38310	38249	37857	10	21	1160	38867	38879	281	640	37547	38579	14392	346	38326	1067	38703	38247	38721	36	2891	38661	38899	38128	38319	39009
Met4855	28	38147	0	27	38	371	803	2	20	27	29	30	37	136	30	26	21	36	2788	675	21	341	21	56	613	722	729	367	13	362	21	21	21	37	21	25	784	25	26	5	842	851	856	613	265	703	51871	27	25	23	13	711	606	21	855	21	447	422	19	13	13	354	362	26	502	361	21122	833	2810	369	13	27	61030	24	20	20	395	412	642
Met4863	0	27923	27	0	29	367	775	42	0	30	0	13	8	138	4	6	15	7	1966	651	17	326	7	48	584	694	700	363	7	359	15	14	14	30	15	19	756	2	18	15	811	821	826	597	254	672	38121	1	19	17	16	707	599	15	827	15	419	398	0	8	10	350	359	0	495	356	15733	803	2179	365	15	1	45638	8	5	0	392	404	642
Met4874	33	38895	38	29	0	384	822	47	17	69	34	0	43	156	28	25	2	42	2853	691	18	352	18	52	644	730	744	380	20	375	0	0	0	0	0	21	809	16	1	0	862	873	878	648	259	711	52613	31	21	10	17	729	619	0	867	0	459	434	16	17	17	368	375	30	514	380	21545	853	2862	383	17	30	62254	31	17	17	407	421	661
Met4888	390	38656	371	367	384	0	3	415	52	244	398	375	407	24	55	18	3	401	2738	2	1	5	158	394	33	1	25	2	354	4	3	1	349	386	337	2	54	144	311	5	60	59	60	14	0	0	52303	376	2	1	6	335	285	2	6	2	4	0	91	371	380	4	2	374	124	29	21165	36	2462	0	2	342	61828	1	2	357	54	136	263
Met5659	830	38974	803	775	822	3	0	857	370	589	839	811	848	57	369	55	10	843	2858	3	4	6	589	828	44	0	25	14	797	4	7	5	786	825	641	11	52	477	677	11	0	2	2	82	0	0	52650	799	10	9	14	735	675	2	16	2	3	1	415	812	821	4	3	795	544	345	21352	32	2488	3	16	540	62226	33	4	798	471	549	686
Met5667	47	38949	2	42	47	415	857	0	29	89	49	39	57	187	45	39	35	57	2870	727	37	383	38	66	676	756	766	415	20	409	35	31	33	47	31	43	835	35	34	5	888	904	910	700	295	738	52674	45	40	41	28	766	652	39	897	41	485	460	29	19	19	400	409	43	549	410	21596	883	2887	418	22	45	62344	61	35	28	437	454	700
Met5670	0	81	20	0	17	52	370	29	0	6	0	9	9	35	0	5	3	8	11	273	5	171	3	32	211	315	335	50	1	42	2	2	2	19	3	3	373	2	6	4	408	413	419	317	141	339	98	1	3	4	3	354	298	3	431	4	68	72	0	1	1	42	44	0	154	55	510	399	197	51	3	2	474	2	2	0	85	157	246
Met5676	38	23328	27	30	69	244	589	89	6	0	53	18	59	81	28	28	54	63	1594	466	64	281	20	60	402	502	507	270	9	252	60	35	20	82	53	65	573	50	22	64	595	623	633	449	183	500	32095	24	62	42	23	551	469	38	600	15	305	287	13	52	63	249	255	8	363	233	13081	579	1777	271	15	19	37652	4	53	53	278	285	490
